Type,Name,Price,Availability,Timings
Breakfast,Breakfast Burger,9.5,Monday - Thursday,8:30 AM - 10:30 AM
Breakfast,Bacon & Egg Roll,8.5,Monday - Thursday,8:30 AM - 10:30 AM
Breakfast,Vegan Mushroom Wrap,8.5,Monday - Thursday,8:30 AM - 10:30 AM
Breakfast,Fresh Fruit Salad,7,Monday - Thursday,8:30 AM - 10:30 AM
Breakfast,Hash Brown,2,Monday - Thursday,8:30 AM - 10:30 AM
Lunch,Beef Cheeseburger,8,Monday - Thursday,11:00 AM - 2:30 PM
Lunch,BUD's Vegan Burger,10,Monday - Thursday,11:00 AM - 2:30 PM
Lunch,Chicken Burger,12.5,Monday - Thursday,11:00 AM - 2:30 PM
Lunch,Shoestring Fries & Aioli,6,Monday - Thursday,11:00 AM - 2:30 PM
